Gene Target,Interacting Gene,Tissue,Enrichr Library
ADH1,KDM5B,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTBP2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,MYC,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,BHLHE40,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,eGFP-HDAC8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,BACH1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,EZH2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,MXI1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,FOS,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCFL,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CBX3,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,RAD21,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CHD1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,TAL1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,HDAC2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,POLR2AphosphoS2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,SMARCB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,TBP,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,KDM5B,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,CTBP2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,MYC,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,BHLHE40,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,eGFP-HDAC8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,BACH1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,EZH2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1B,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
